"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","49","22","24","1","33.715179","0","24"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","49","993","1016","1","0.000000","0","1016"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","49","8","8","1","2.123861","0","8"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","49","14","14","1","10.881365","0","14"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","49","8","8","1","3.484677","0","8"
"/Engine/VREditor/TransformGizmo/Xray.Xray","49","8","8","1","4.891747","0","8"
"/Engine/VREditor/TransformGizmo/Main.Main","49","8","8","1","9.339393","0","8"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","49","67","67","1","38.253860","0","67"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","49","16","16","1","25.234383","0","16"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","49","16","16","1","24.657736","0","16"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","49","22","22","1","25.137888","0","0"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","49","16","16","1","16.298502","0","16"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","49","17","17","1","14.852534","0","17"
"/MovieRenderPipeline/Blueprints/M_MoviePipelineRenderPreview.M_MoviePipelineRenderPreview","49","15","15","1","7.768786","0","15"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","49","11","12","1","10.495415","0","12"
"/ControlRig/M_Manip.M_Manip","49","11","12","1","9.828267","0","12"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","49","56","62","2","37.196190","0","62"
"/Game/TokyoStylizedEnvironment/Materials/Emissive_Light/M_Emissive.M_Emissive","49","8","8","1","0.000000","0","8"
"/Game/TokyoStylizedEnvironment/Materials/Tile_Glass/M_Glass.M_Glass","49","17","17","1","7.931613","0","17"
"/Game/TokyoStylizedEnvironment/Materials/Tile_Glass/M_Glass_Opaque1.M_Glass_Opaque1","49","8","8","1","0.000000","0","8"
"/Pedestrian_System/Demo_Content/Materials/CharacterMaterials/M_CharacterParent.M_CharacterParent","49","11","11","1","2.147117","0","11"
